t,HUM,MCD
2023-01-03 05:00:00+00:00,500.49,264.33
2023-01-04 05:00:00+00:00,492.12,264.39
2023-01-05 05:00:00+00:00,488.02,262.16
2023-01-06 05:00:00+00:00,492.54,269.47
2023-01-09 05:00:00+00:00,481.71,267.25
2023-01-10 05:00:00+00:00,481.59,268.91
2023-01-11 05:00:00+00:00,493.0,268.81
2023-01-12 05:00:00+00:00,494.29,266.69
2023-01-13 05:00:00+00:00,491.36,268.89
2023-01-17 05:00:00+00:00,490.46,274.11
2023-01-18 05:00:00+00:00,484.75,266.04
2023-01-19 05:00:00+00:00,491.72,263.58
2023-01-20 05:00:00+00:00,497.3,268.58
2023-01-23 05:00:00+00:00,494.55,269.29
2023-01-24 05:00:00+00:00,500.35,269.56
2023-01-25 05:00:00+00:00,502.22,273.0
2023-01-26 05:00:00+00:00,499.36,274.72
2023-01-27 05:00:00+00:00,481.69,272.46
2023-01-30 05:00:00+00:00,484.91,270.89
2023-01-31 05:00:00+00:00,511.7,267.4
2023-02-01 05:00:00+00:00,513.28,266.27
2023-02-02 05:00:00+00:00,489.77,263.21
2023-02-03 05:00:00+00:00,476.57,264.23
2023-02-06 05:00:00+00:00,486.22,267.92
2023-02-07 05:00:00+00:00,481.0,267.34
2023-02-08 05:00:00+00:00,494.21,262.82
2023-02-09 05:00:00+00:00,491.93,260.66
2023-02-10 05:00:00+00:00,498.62,262.42
2023-02-13 05:00:00+00:00,501.94,266.2
2023-02-14 05:00:00+00:00,501.68,266.61
2023-02-15 05:00:00+00:00,498.32,266.56
2023-02-16 05:00:00+00:00,505.69,265.83
2023-02-17 05:00:00+00:00,510.14,269.99
2023-02-21 05:00:00+00:00,503.38,268.55
2023-02-22 05:00:00+00:00,503.59,268.64
2023-02-23 05:00:00+00:00,510.65,266.78
2023-02-24 05:00:00+00:00,507.42,263.68
2023-02-27 05:00:00+00:00,506.51,264.78
2023-02-28 05:00:00+00:00,495.02,263.91
2023-03-01 05:00:00+00:00,496.15,262.72
2023-03-02 05:00:00+00:00,495.76,267.57
2023-03-03 05:00:00+00:00,500.21,269.07
2023-03-06 05:00:00+00:00,499.07,270.64
2023-03-07 05:00:00+00:00,496.04,267.13
2023-03-08 05:00:00+00:00,489.31,265.33
2023-03-09 05:00:00+00:00,486.33,261.63
2023-03-10 05:00:00+00:00,479.66,262.03
2023-03-13 04:00:00+00:00,482.48,263.08
2023-03-14 04:00:00+00:00,481.97,265.9
2023-03-15 04:00:00+00:00,483.87,266.34
2023-03-16 04:00:00+00:00,494.38,270.57
2023-03-17 04:00:00+00:00,495.55,267.2
2023-03-20 04:00:00+00:00,494.39,270.74
2023-03-21 04:00:00+00:00,500.87,270.21
2023-03-22 04:00:00+00:00,498.33,267.87
2023-03-23 04:00:00+00:00,491.35,269.62
2023-03-24 04:00:00+00:00,502.43,271.33
2023-03-27 04:00:00+00:00,506.99,273.84
2023-03-28 04:00:00+00:00,483.41,275.85
2023-03-29 04:00:00+00:00,485.75,277.44
2023-03-30 04:00:00+00:00,488.36,277.79
2023-03-31 04:00:00+00:00,485.46,279.61
2023-04-03 04:00:00+00:00,510.25,282.14
2023-04-04 04:00:00+00:00,503.31,282.28
2023-04-05 04:00:00+00:00,516.23,282.02
2023-04-06 04:00:00+00:00,519.97,282.89
2023-04-10 04:00:00+00:00,524.56,283.78
2023-04-11 04:00:00+00:00,533.76,284.48
2023-04-12 04:00:00+00:00,532.05,285.3
2023-04-13 04:00:00+00:00,535.26,289.07
2023-04-14 04:00:00+00:00,523.83,288.98
2023-04-17 04:00:00+00:00,518.82,289.31
2023-04-18 04:00:00+00:00,512.68,290.91
2023-04-19 04:00:00+00:00,492.9,291.27
2023-04-20 04:00:00+00:00,490.31,291.0
2023-04-21 04:00:00+00:00,491.21,292.06
2023-04-24 04:00:00+00:00,501.73,293.2
2023-04-25 04:00:00+00:00,501.69,291.51
2023-04-26 04:00:00+00:00,505.47,289.76
2023-04-27 04:00:00+00:00,525.28,294.72
2023-04-28 04:00:00+00:00,530.49,295.75
2023-05-01 04:00:00+00:00,535.13,297.58
2023-05-02 04:00:00+00:00,533.06,298.07
2023-05-03 04:00:00+00:00,529.79,295.22
2023-05-04 04:00:00+00:00,528.5,295.16
2023-05-05 04:00:00+00:00,535.02,296.6
2023-05-08 04:00:00+00:00,535.96,296.69
2023-05-09 04:00:00+00:00,530.2,296.66
2023-05-10 04:00:00+00:00,529.63,296.57
2023-05-11 04:00:00+00:00,528.99,294.79
2023-05-12 04:00:00+00:00,527.35,296.14
2023-05-15 04:00:00+00:00,522.5,295.9
2023-05-16 04:00:00+00:00,518.35,294.15
2023-05-17 04:00:00+00:00,520.29,293.46
2023-05-18 04:00:00+00:00,513.87,294.05
2023-05-19 04:00:00+00:00,513.52,295.55
2023-05-22 04:00:00+00:00,513.98,289.35
2023-05-23 04:00:00+00:00,506.93,286.37
2023-05-24 04:00:00+00:00,506.63,285.92
2023-05-25 04:00:00+00:00,500.07,285.52
2023-05-26 04:00:00+00:00,496.6,286.04
2023-05-30 04:00:00+00:00,495.1,284.92
2023-05-31 04:00:00+00:00,501.87,285.11
2023-06-01 04:00:00+00:00,515.15,287.87
2023-06-02 04:00:00+00:00,520.78,289.91
2023-06-05 04:00:00+00:00,523.94,288.43
2023-06-06 04:00:00+00:00,511.12,284.54
2023-06-07 04:00:00+00:00,504.69,281.9
2023-06-08 04:00:00+00:00,509.83,285.78
2023-06-09 04:00:00+00:00,513.34,286.79
2023-06-12 04:00:00+00:00,513.23,288.57
2023-06-13 04:00:00+00:00,512.63,288.55
2023-06-14 04:00:00+00:00,455.0,288.44
2023-06-15 04:00:00+00:00,463.85,292.61
2023-06-16 04:00:00+00:00,445.65,293.7
2023-06-20 04:00:00+00:00,446.71,293.04
2023-06-21 04:00:00+00:00,452.71,294.52
2023-06-22 04:00:00+00:00,456.44,293.3
2023-06-23 04:00:00+00:00,445.95,289.91
2023-06-26 04:00:00+00:00,446.4,289.09
2023-06-27 04:00:00+00:00,445.92,291.3
2023-06-28 04:00:00+00:00,444.83,291.74
2023-06-29 04:00:00+00:00,443.86,294.47
2023-06-30 04:00:00+00:00,447.13,298.41
2023-07-03 04:00:00+00:00,446.27,294.84
2023-07-05 04:00:00+00:00,444.99,296.9
2023-07-06 04:00:00+00:00,440.99,294.92
2023-07-07 04:00:00+00:00,430.14,292.1
2023-07-10 04:00:00+00:00,434.7,294.49
2023-07-11 04:00:00+00:00,437.22,294.74
2023-07-12 04:00:00+00:00,425.08,295.61
2023-07-13 04:00:00+00:00,424.29,295.22
2023-07-14 04:00:00+00:00,434.93,294.94
2023-07-17 04:00:00+00:00,434.41,294.68
2023-07-18 04:00:00+00:00,440.73,293.82
2023-07-19 04:00:00+00:00,447.26,294.13
2023-07-20 04:00:00+00:00,447.41,297.13
2023-07-21 04:00:00+00:00,456.89,295.61
2023-07-24 04:00:00+00:00,453.44,295.31
2023-07-25 04:00:00+00:00,454.34,292.36
2023-07-26 04:00:00+00:00,448.21,291.75
2023-07-27 04:00:00+00:00,451.0,295.19
2023-07-28 04:00:00+00:00,453.3,294.03
2023-07-31 04:00:00+00:00,456.83,293.2
2023-08-01 04:00:00+00:00,458.11,291.07
2023-08-02 04:00:00+00:00,483.75,289.62
2023-08-03 04:00:00+00:00,487.15,291.02
2023-08-04 04:00:00+00:00,484.28,287.02
2023-08-07 04:00:00+00:00,494.67,291.4
2023-08-08 04:00:00+00:00,493.22,289.58
2023-08-09 04:00:00+00:00,493.38,288.23
2023-08-10 04:00:00+00:00,495.03,287.6
2023-08-11 04:00:00+00:00,493.91,288.62
2023-08-14 04:00:00+00:00,497.21,288.81
2023-08-15 04:00:00+00:00,495.31,288.3
2023-08-16 04:00:00+00:00,494.66,285.4
2023-08-17 04:00:00+00:00,488.74,281.86
2023-08-18 04:00:00+00:00,490.39,281.74
2023-08-21 04:00:00+00:00,491.28,280.04
2023-08-22 04:00:00+00:00,484.19,280.31
2023-08-23 04:00:00+00:00,481.43,281.87
2023-08-24 04:00:00+00:00,482.63,282.35
2023-08-25 04:00:00+00:00,478.94,284.58
2023-08-28 04:00:00+00:00,480.64,283.68
2023-08-29 04:00:00+00:00,481.3,283.59
2023-08-30 04:00:00+00:00,475.26,284.24
2023-08-31 04:00:00+00:00,461.63,281.15
2023-09-01 04:00:00+00:00,460.61,280.94
2023-09-05 04:00:00+00:00,470.22,279.16
2023-09-06 04:00:00+00:00,465.07,275.44
2023-09-07 04:00:00+00:00,471.98,278.33
2023-09-08 04:00:00+00:00,467.73,279.22
