t,MA,META
2023-01-03 05:00:00+00:00,346.8,124.74
2023-01-04 05:00:00+00:00,355.15,127.37
2023-01-05 05:00:00+00:00,351.77,126.94
2023-01-06 05:00:00+00:00,367.67,130.02
2023-01-09 05:00:00+00:00,370.97,129.47
2023-01-10 05:00:00+00:00,371.01,132.99
2023-01-11 05:00:00+00:00,377.86,132.89
2023-01-12 05:00:00+00:00,379.81,136.71
2023-01-13 05:00:00+00:00,375.52,136.98
2023-01-17 05:00:00+00:00,375.0,135.36
2023-01-18 05:00:00+00:00,368.92,133.02
2023-01-19 05:00:00+00:00,367.94,136.15
2023-01-20 05:00:00+00:00,376.28,139.37
2023-01-23 05:00:00+00:00,378.57,143.27
2023-01-24 05:00:00+00:00,380.01,143.14
2023-01-25 05:00:00+00:00,382.39,141.5
2023-01-26 05:00:00+00:00,377.24,147.3
2023-01-27 05:00:00+00:00,374.03,151.74
2023-01-30 05:00:00+00:00,371.12,147.06
2023-01-31 05:00:00+00:00,370.6,148.97
2023-02-01 05:00:00+00:00,374.08,153.12
2023-02-02 05:00:00+00:00,374.94,188.77
2023-02-03 05:00:00+00:00,373.91,186.53
2023-02-06 05:00:00+00:00,372.97,186.06
2023-02-07 05:00:00+00:00,375.06,191.62
2023-02-08 05:00:00+00:00,370.35,183.43
2023-02-09 05:00:00+00:00,370.42,177.92
2023-02-10 05:00:00+00:00,366.83,174.15
2023-02-13 05:00:00+00:00,370.83,179.43
2023-02-14 05:00:00+00:00,369.96,179.48
2023-02-15 05:00:00+00:00,369.64,177.16
2023-02-16 05:00:00+00:00,367.55,172.44
2023-02-17 05:00:00+00:00,361.13,172.88
2023-02-21 05:00:00+00:00,355.96,172.08
2023-02-22 05:00:00+00:00,354.97,171.12
2023-02-23 05:00:00+00:00,355.53,172.04
2023-02-24 05:00:00+00:00,353.12,170.39
2023-02-27 05:00:00+00:00,355.48,169.54
2023-02-28 05:00:00+00:00,355.29,174.94
2023-03-01 05:00:00+00:00,353.5,173.42
2023-03-02 05:00:00+00:00,355.57,174.53
2023-03-03 05:00:00+00:00,361.5,185.25
2023-03-06 05:00:00+00:00,366.93,184.9
2023-03-07 05:00:00+00:00,359.94,184.51
2023-03-08 05:00:00+00:00,359.03,184.97
2023-03-09 05:00:00+00:00,354.44,181.69
2023-03-10 05:00:00+00:00,347.11,179.51
2023-03-13 04:00:00+00:00,344.71,180.9
2023-03-14 04:00:00+00:00,352.82,194.02
2023-03-15 04:00:00+00:00,348.08,197.75
2023-03-16 04:00:00+00:00,348.0,204.93
2023-03-17 04:00:00+00:00,349.66,195.61
2023-03-20 04:00:00+00:00,349.32,197.81
2023-03-21 04:00:00+00:00,354.57,202.16
2023-03-22 04:00:00+00:00,351.03,199.81
2023-03-23 04:00:00+00:00,354.37,204.28
2023-03-24 04:00:00+00:00,351.63,206.01
2023-03-27 04:00:00+00:00,354.62,202.84
2023-03-28 04:00:00+00:00,354.33,200.68
2023-03-29 04:00:00+00:00,359.53,205.35
2023-03-30 04:00:00+00:00,359.26,207.84
2023-03-31 04:00:00+00:00,363.41,211.94
